name,lat,lon,open,close,income,id,amount
Abigail's,42.36461,-71.08317,11,1,1,117,20
Antonio's Cucina Italiana,42.360992,-71.06821,11,10,1,234,19
Boca Grande,42.366276,-71.07807,11,7,1,74,19
Cafe Podima,42.361008,-71.06493,11,11,1,228,20
Chipotle,42.36254,-71.08556,11,10,1,128,12
Evoo Restaurant,42.363422,-71.08316,11,10,1,105,20
Felcaros Pizzeria,42.360996,-71.068054,11,11,1,234,12
Fin's,42.36102,-71.06682,11,11,1,231,19
Firebrand Saints,42.362457,-71.08333,11,1,1,96,13
Jose's Mexican Food Truck,42.36105,-71.08626,11,12,1,136,13
Kika Tapas,42.363403,-71.082985,11,10,1,105,12
Legal Seafoods,42.362705,-71.08784,11,11,1,127,13
Liberty Bar,42.36192,-71.07012,11,2,1,242,19
Ma Maison,42.360996,-71.06795,11,10,1,232,11
Mead Hall,42.3637,-71.087326,11,1,1,117,14
Olive Cafe,42.3718,-71.079506,11,9,1,17,10
Scampo,42.361935,-71.07046,11,2,1,242,20
The Similans,42.36636,-71.07806,11,10,1,74,12
Za Restaurant,42.363495,-71.083466,11,11,1,105,10
